PNGFILE,Category,Prob,T-test,T-test_prob,SNR,WIDTH,DM,SourceName,RA,DEC,MJD,Hfreq,NCHANS,BANDWIDTH,filename
0000_1207.290sec_DM2034.87.png,0000,*,0.65,48.38,23.4386,0.349525333333,2034.87,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
0009_1207.260sec_DM1798.29.png,0009,*,0.05,4.10,7.74895,0.349525333333,1798.29,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
0019_1390.350sec_DM1798.29.png,0019,*,1.31,80.15,6.31613,2.79620266667,1798.29,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
B_0003_1638.300sec_DM1845.59.png,B,*,4.62,99.99,10.1363,5.59240533333,1845.59,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
C_0013_763.150sec_DM712.65.png,C,*,2.13,95.82,7.1907,2.79620266667,712.645,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
0004_858.112sec_DM241.36.png,0004,*,1.53,86.37,9.21554,0.699050666667,241.363,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
C_0010_858.141sec_DM2034.87.png,C,*,1.98,94.29,7.6571,0.349525333333,2034.87,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
0008_1638.270sec_DM100.00.png,0008,*,3.95,99.96,7.90532,2.79620266667,100.0,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
B_0012_1535.710sec_DM1089.89.png,B,*,3.09,99.57,7.4434,5.59240533333,1089.89,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
B_0001_858.024sec_DM1940.21.png,B,*,6.22,100.00,16.3328,5.59240533333,1940.21,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
B_0017_1638.210sec_DM1325.84.png,B,*,3.61,99.89,6.46283,1.39810133333,1325.84,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
B_0018_1536.400sec_DM147.12.png,B,*,3.22,99.69,6.36609,2.79620266667,147.121,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
B_0007_762.995sec_DM1892.89.png,B,*,4.36,99.99,8.60549,5.59240533333,1892.89,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
B_0011_1535.910sec_DM1609.21.png,B,*,3.56,99.87,7.62943,5.59240533333,1609.21,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
B_0015_1361.390sec_DM1609.21.png,B,*,4.79,100.00,6.63521,5.59240533333,1609.21,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
B_0002_1638.250sec_DM1137.07.png,B,*,4.13,99.97,10.4367,5.59240533333,1137.07,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
C_0005_1207.270sec_DM1845.59.png,C,*,1.18,75.17,8.7936,0.349525333333,1845.59,0_DIAG_FRB1211,53158.68,330852.08,57991.72451388889,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_62598_DIAG_FRB121102_0018.gpuspec.0001.8.4chan.fil
