PNGFILE,Category,Prob,T-test,T-test_prob,SNR,WIDTH,DM,SourceName,RA,DEC,MJD,Hfreq,NCHANS,BANDWIDTH,filename
0006_1404.910sec_DM151.03.png,0006,*,0.90,62.49,13.6351,5.59240533333,151.028,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0009_821.906sec_DM126.08.png,C,*,1.13,73.35,12.7083,5.59240533333,126.085,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0011_609.737sec_DM1479.60.png,C,*,1.06,70.30,12.5517,5.59240533333,1479.6,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0014_696.316sec_DM819.05.png,0014,*,1.08,71.17,11.7062,5.59240533333,819.048,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0017_1546.900sec_DM178.63.png,C,*,1.02,68.23,11.3465,2.79620266667,178.634,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0018_1301.710sec_DM495.52.png,C,*,1.05,69.87,11.1701,5.59240533333,495.525,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0001_1481.380sec_DM760.11.png,0001,*,0.94,64.41,15.9948,5.59240533333,760.114,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0012_610.415sec_DM690.02.png,C,*,1.12,73.04,12.1431,5.59240533333,690.023,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0002_1549.370sec_DM348.32.png,C,*,2.47,98.05,15.5752,5.59240533333,348.322,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0016_195.971sec_DM1303.30.png,C,*,1.05,69.85,11.4019,5.59240533333,1303.3,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0000_421.382sec_DM133.58.png,C,*,1.69,90.80,39.1004,5.59240533333,133.58,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0019_610.602sec_DM527.22.png,C,*,1.10,71.83,11.1222,5.59240533333,527.219,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0005_41.248sec_DM1089.16.png,C,*,1.08,71.18,14.0181,5.59240533333,1089.16,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0015_116.188sec_DM1123.07.png,0015,*,1.07,70.83,11.592,5.59240533333,1123.07,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0010_1096.130sec_DM1188.85.png,C,*,1.03,68.68,12.6859,5.59240533333,1188.85,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0004_1480.480sec_DM1965.91.png,0004,*,0.96,65.48,14.3845,5.59240533333,1965.91,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0003_436.075sec_DM1453.94.png,C,*,1.01,68.00,14.5781,5.59240533333,1453.94,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0007_420.534sec_DM1147.93.png,0007,*,0.89,62.01,13.5626,5.59240533333,1147.93,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0008_420.481sec_DM1209.85.png,0008,*,1.00,67.65,13.2181,5.59240533333,1209.85,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0013_1095.580sec_DM1940.30.png,C,*,1.10,72.11,11.8565,5.59240533333,1940.3,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0028_165.659sec_DM161.16.png,C,*,1.47,84.82,10.5826,5.59240533333,161.158,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0031_486.872sec_DM201.41.png,C,*,1.20,75.93,10.4598,5.59240533333,201.412,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0035_200.932sec_DM115.07.png,0035,*,0.97,65.91,10.2571,5.59240533333,115.068,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0024_41.961sec_DM115.70.png,0024,*,0.64,47.04,10.7464,5.59240533333,115.698,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0023_761.078sec_DM1183.65.png,C,*,1.04,69.33,10.7953,5.59240533333,1183.65,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0022_1302.380sec_DM278.95.png,0022,*,0.41,31.64,10.8338,5.59240533333,278.947,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0037_1571.620sec_DM620.80.png,0037,*,1.95,93.98,10.1072,5.59240533333,620.805,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0026_610.683sec_DM443.46.png,C,*,1.39,82.54,10.627,5.59240533333,443.461,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0032_200.819sec_DM275.14.png,0032,*,0.81,57.31,10.3978,5.59240533333,275.145,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0038_1546.630sec_DM499.94.png,0038,*,0.99,67.07,10.0728,2.79620266667,499.936,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0029_636.884sec_DM209.19.png,0029,*,0.95,65.27,10.5121,5.59240533333,209.194,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0033_1261.710sec_DM416.65.png,C,*,1.79,91.71,10.3409,5.59240533333,416.653,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0030_1546.530sec_DM599.28.png,0030,*,0.96,65.62,10.466,2.79620266667,599.285,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0027_1546.830sec_DM219.28.png,0027,*,0.80,57.17,10.6011,2.79620266667,219.282,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0025_866.170sec_DM1183.65.png,C,*,1.28,79.00,10.6714,5.59240533333,1183.65,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0036_420.558sec_DM1118.16.png,0036,*,0.63,46.88,10.2566,2.79620266667,1118.16,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0039_1221.850sec_DM252.13.png,C,*,1.05,69.87,10.0314,5.59240533333,252.135,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0034_1300.730sec_DM1923.41.png,0034,*,0.26,20.37,10.292,5.59240533333,1923.41,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0021_195.677sec_DM1687.01.png,0021,*,0.96,65.45,10.9176,5.59240533333,1687.01,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0020_1221.440sec_DM808.33.png,C,*,1.14,73.83,10.9264,5.59240533333,808.329,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0051_1431.200sec_DM1074.94.png,C,*,1.10,71.79,9.7466,5.59240533333,1074.94,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0053_1236.130sec_DM1147.93.png,C,*,1.10,71.95,9.74019,5.59240533333,1147.93,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0056_966.929sec_DM134.98.png,0056,*,0.73,52.78,9.69217,5.59240533333,134.976,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0046_1261.540sec_DM721.05.png,C,*,1.04,69.23,9.90489,5.59240533333,721.055,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0043_131.806sec_DM226.59.png,C,*,1.11,72.51,10.0112,5.59240533333,226.591,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0044_1316.540sec_DM717.89.png,0044,*,0.71,51.68,9.9196,5.59240533333,717.891,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0059_1431.540sec_DM631.85.png,0059,*,0.99,67.03,9.64538,5.59240533333,631.848,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0057_826.402sec_DM780.42.png,C,*,1.02,68.46,9.66874,5.59240533333,780.419,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0048_816.741sec_DM447.42.png,0048,*,1.13,73.06,9.84468,5.59240533333,447.424,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0041_610.870sec_DM129.46.png,0041,*,0.68,49.75,10.0252,5.59240533333,129.455,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0050_1421.300sec_DM963.40.png,C,*,1.08,71.26,9.76379,5.59240533333,963.397,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0054_131.744sec_DM289.32.png,C,*,1.20,76.06,9.70131,5.59240533333,289.321,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0042_1546.490sec_DM631.85.png,0042,*,0.98,66.49,10.0176,2.79620266667,631.848,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0049_761.939sec_DM116.33.png,C,*,1.04,69.16,9.78635,5.59240533333,116.33,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0055_165.822sec_DM1754.71.png,0055,*,0.99,67.19,9.69847,5.59240533333,1754.71,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0058_121.444sec_DM770.20.png,C,*,1.26,78.18,9.65477,5.59240533333,770.201,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0040_195.437sec_DM1983.17.png,0040,*,1.00,67.33,10.0279,5.59240533333,1983.17,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0045_331.633sec_DM478.25.png,0045,*,0.97,66.18,9.91373,5.59240533333,478.252,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0052_200.660sec_DM1650.53.png,C,*,1.16,74.34,9.74579,5.59240533333,1650.53,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
C_0047_1439.960sec_DM1416.27.png,C,*,2.71,98.89,9.85788,5.59240533333,1416.27,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
0079_1235.530sec_DM1965.91.png,0079,*,0.85,59.87,9.25089,5.59240533333,1965.91,DIAG_FRB180916,15800.768,654300.84,58932.32488425926,988.96484375,512,-187.5,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/R3_blc73/3248_redone/downsampled_bits.fil
